datetime,SDNN,RMSSD,NN50,PNN50,HRmax - HRmin,VLF Power,LF Power,HF Power,LFPeak/HFPeak,LF/HF,SDANN 24h,ASDNN 24h,Prediction
2020-02-18 02:58:27,60.874348684129416,64.99974566827109,125,44.014084507042256,3.480000000000004,676.3281314666422,892.5778968534407,1112.4007548438817,0.2033898305084746,0.8023887910600244,120.7853112282969,,[nan]
2020-02-18 03:03:27,61.34913598283691,62.22716423496534,119,41.75438596491228,7.479999999999997,890.4662332177362,557.9896996058756,898.7410107665625,0.16141732283464566,0.6208570577300683,121.31615522915139,65.71214886549464,[113.670494]
2020-02-18 03:08:27,52.073887590925374,65.61369734628714,143,48.97260273972603,2.1499999999999986,372.49407068421675,371.8858958157567,1067.4551805286474,0.16532258064516128,0.34838548971356686,121.51491610724196,65.62411007162022,[118.58149]
2020-02-18 03:13:27,65.4231430530494,72.20348328642723,140,48.61111111111111,3.8799999999999955,614.4206635950968,1415.523351211886,1309.876711855415,0.3426294820717131,1.0806538801707717,121.54148046223722,65.66960753727794,[104.89729]
2020-02-18 03:18:28,62.00196369681196,71.26546806053884,133,48.014440433213,5.200000000000003,327.4282344586221,408.0817979420037,1077.9330050373628,0.16205533596837945,0.37857807121126136,121.72475692716125,65.74814879771915,[117.17814]
2020-02-18 03:23:27,97.75436255734488,91.35563558647745,135,51.92307692307693,10.390000000000008,2461.717541730447,2997.181364808082,1783.1522644439635,0.32113821138211385,1.6808331091919884,122.12749222569518,66.07258871258706,[83.95821]
2020-02-18 03:28:27,74.07009038059967,85.85069530318404,163,59.27272727272728,2.3900000000000006,730.011182247756,808.1001360159978,1649.7090480510385,0.16666666666666666,0.48984403460154685,122.46320686745085,66.19822089820839,[110.34466]
2020-02-18 03:33:28,96.60482680825397,88.85155803644733,130,53.941908713692946,7.890000000000001,2951.3162549427243,2369.0792884681714,1648.9186052068237,0.17391304347826086,1.4367472602876101,122.9567228043818,66.44662445281536,[84.555534]
2020-02-18 03:38:28,67.56781364319724,76.70525519115412,150,55.970149253731336,4.299999999999997,540.0426029968053,536.1546581953719,1363.8760695852816,0.16342412451361868,0.39311097991359456,122.77539288309391,66.44004010731092,[114.0111]
2020-02-18 03:43:27,75.26647737133109,83.46400595175459,131,54.132231404958674,4.18,1254.842098437485,1387.3862138495901,1446.181296280997,0.16141732283464566,0.9593445976776187,123.36592523943882,66.71309238159671,[98.98]
2020-02-18 03:48:28,80.75717407460834,78.12857434059796,134,50.37593984962406,4.199999999999996,977.74361157267,1349.379865956585,1170.495742425937,0.21176470588235294,1.1528276584414547,122.86542354930823,66.58282269411926,[97.9867]
