datetime,Prediction
2020-02-19 06:28:26,[109.0678]
2020-02-19 06:33:26,[124.482025]
2020-02-19 06:38:26,[118.07816]
2020-02-19 06:43:26,[99.500565]
2020-02-19 06:48:26,[90.060394]
2020-02-19 06:53:26,[113.9712]
2020-02-19 06:58:26,[119.40448]
2020-02-19 07:03:26,[96.00972]
2020-02-19 21:08:25,[119.18275]
2020-02-19 22:48:26,[122.26061]
2020-02-19 23:23:26,[135.11534]
2020-02-19 23:28:26,[135.69391]
2020-02-19 23:33:26,[134.23389]
2020-02-19 23:38:26,[139.1903]
2020-02-20 02:48:25,[128.08664]
2020-02-20 02:53:25,[113.2511]
2020-02-20 02:58:25,[119.34736]
2020-02-20 03:03:25,[124.143005]
2020-02-20 03:08:25,[94.38404]
2020-02-20 03:13:25,[108.438515]
2020-02-20 03:18:25,[125.4718]
2020-02-20 03:23:25,[118.63177]
2020-02-20 03:28:25,[115.65202]
2020-02-20 03:33:25,[115.21561]
2020-02-20 03:38:25,[122.76239]
2020-02-20 03:43:25,[88.41462]
2020-02-20 03:53:25,[116.58396]
2020-02-20 03:58:25,[122.08342]
2020-02-20 04:03:25,[86.42609]
2020-02-20 04:08:25,[138.72835]
2020-02-20 04:13:25,[134.48535]
2020-02-20 04:18:25,[105.30587]
2020-02-20 04:23:25,[111.85498]
2020-02-20 04:28:25,[96.87228]
2020-02-20 04:33:25,[124.667305]
2020-02-20 04:38:25,[92.36009]
2020-02-20 04:43:25,[127.981224]
2020-02-20 04:48:25,[133.58086]
2020-02-20 04:53:25,[116.5884]
2020-02-20 04:58:25,[113.766136]
2020-02-20 05:08:25,[110.365326]
2020-02-20 05:13:25,[124.41234]
2020-02-20 05:18:25,[111.894646]
2020-02-20 05:23:25,[118.79959]
2020-02-20 05:28:25,[132.90941]
2020-02-20 05:33:25,[125.290665]
2020-02-20 05:43:25,[103.1384]
2020-02-20 05:48:25,[119.51167]
2020-02-20 05:53:25,[101.22865]
2020-02-20 05:58:26,[128.8653]
2020-02-20 06:03:25,[133.36903]
